feature,label,d_PD,d_PD_ci_lo,d_PD_ci_hi,p_PD,sig_PD,n_PD,n_HC_PD,d_AD,d_AD_ci_lo,d_AD_ci_hi,p_AD,sig_AD,n_AD,n_HC_AD,bucket
dev_meanF0,F0 mean,-0.8139358430362116,-1.2306961856442165,-0.41775900684762046,0.00019074845637504021,True,55,50,0.5924709941556788,0.3715736899575609,0.7944041142214915,6.581434735893413e-06,True,194.0,99.0,shared-discordant
dev_HNR,HNR,-0.6183056731980299,-0.9223640591726877,-0.2599915303829751,0.0009066190913423177,True,97,50,0.34543207622102584,0.1061646396375754,0.5683579407347709,0.01383580089314788,True,194.0,99.0,shared-discordant
dev_localJitter,Jitter (local),0.7760862365668643,0.5508881889098989,1.072228441901032,1.57301157859208e-07,True,97,50,0.08001436176101427,-0.15272678151122293,0.325996125126113,0.5057393483634156,False,194.0,99.0,PD-specific
dev_localabsoluteJitter,Jitter (abs),0.9568197226266858,0.7296753579417219,1.2290875518912714,8.880245533187449e-09,True,97,50,-0.22802999938258656,-0.4671591090329828,0.025713706318289307,0.05207406522474077,False,194.0,99.0,PD-specific
dev_rapJitter,Jitter (RAP),0.6770542712130164,0.4822994631474733,0.9360865008840465,1.846758298096441e-06,True,97,50,0.07792317160327275,-0.15882326321630022,0.3133134194650333,0.4909419784589951,False,194.0,99.0,PD-specific
dev_ppq5Jitter,Jitter (ppq5),0.6879415489819005,0.5080222659887921,1.0401618143997198,6.543959885513735e-08,True,97,50,0.11886919633913023,-0.13797274657337788,0.35525121574055996,0.23912566887871867,False,194.0,99.0,PD-specific
dev_localShimmer,Shimmer (local),0.8912071878726634,0.6928397905425682,1.2664332365123485,1.4638969587625745e-10,True,97,50,-0.05830219745499475,-0.29846978990707196,0.1837976541953449,0.9366745405338995,False,194.0,99.0,PD-specific
dev_localdbShimmer,Shimmer (dB),0.9253511721180824,0.7272539250928991,1.3309111670441665,2.92443673401454e-11,True,97,50,,,,,False,,,PD-specific
dev_apq3Shimmer,Shimmer (apq3),0.8657472458351873,0.6714849283102351,1.1658014402043806,1.579695948527006e-08,True,97,50,-0.05975452459098429,-0.27479801818861205,0.17270199291022154,0.773411142848982,False,194.0,99.0,PD-specific
dev_aqpq5Shimmer,Shimmer (apq5),0.8221744015952641,0.6345490344001036,1.1941366958782065,8.081252291498872e-10,True,97,50,-0.08641990965939071,-0.31737336553379863,0.13895511953113399,0.6581687699880316,False,194.0,99.0,PD-specific
dev_apq11Shimmer,Shimmer (apq11),0.9451537842911547,0.7729717851688354,1.3434743244762661,2.3808817581060352e-12,True,97,50,-0.10570395361630648,-0.3553745658051728,0.11757179001744754,0.4273275327337158,False,194.0,99.0,PD-specific
