feature,clac_mean_dev,oxford_hc_mean_dev,p_value,significant
meanF0,0.005494876653677443,1.1876299937646781,0.0028036881598636106,True
HNR,0.0030621977851929285,1.9055277321886066,9.927748485958959e-09,True
localJitter,-0.002502250905835241,-0.5564498105821004,0.002486118743280946,True
localabsoluteJitter,-0.0033634713493094657,-0.7074107815085047,0.0002952967795675608,True
rapJitter,-0.002275226328691296,-0.5473832293779879,0.0022734940522940693,True
ppq5Jitter,-0.0024844364226722366,-0.5711812006413748,0.0006455061146867422,True
localShimmer,-0.0006199826093863098,-1.5541697073701617,1.8934061142148626e-16,True
localdbShimmer,-0.0005611540710017608,-1.6863135633926067,6.404637402086826e-16,True
apq3Shimmer,0.0004819019038432881,-1.4080095692003658,1.995535288674283e-12,True
aqpq5Shimmer,-0.0006430451470818739,-1.3520788973712836,3.1223085919342904e-15,True
apq11Shimmer,-0.001534880008532692,-1.3066297913940916,8.895336558036868e-16,True
